id,lon,lat,year,month,day,hour,drogue,u,v,sst,season
139775,39.935,-8.829,2016,2,24,6,1,0.023,0.264,29.542,NE
139775,39.949,-8.777,2016,2,24,12,1,0.0168,0.2989,30.135,NE
139775,39.941,-8.712,2016,2,24,18,1,0.004,0.3316,29.887,NE
139775,39.95,-8.647,2016,2,25,0,1,-0.0358,0.3899,29.577,NE
139775,39.927,-8.56,2016,2,25,6,1,-0.1332,0.3469,29.618,NE
139775,39.898,-8.512,2016,2,25,12,1,-0.0761,0.2719,30.208,NE
139775,39.898,-8.454,2016,2,25,18,1,-0.0075,0.301,29.92,NE
139775,39.895,-8.394,2016,2,26,0,1,0.0176,0.3275,29.56,NE
139775,39.904,-8.326,2016,2,26,6,1,-0.0718,0.2971,29.548,NE
139775,39.867,-8.278,2016,2,26,12,1,0.0165,0.2441,29.755,NE
139775,39.911,-8.23,2016,2,26,18,1,0.0858,0.2427,29.579,NE
139775,39.9,-8.183,2016,2,27,0,1,0.0683,0.2309,29.47,NE
139775,39.938,-8.14,2016,2,27,6,1,0.1083,0.2257,29.489,NE
139775,39.943,-8.095,2016,2,27,12,1,0.12,0.1781,29.616,NE
139775,39.985,-8.071,2016,2,27,18,1,0.1135,0.1904,29.536,NE
139775,39.987,-8.021,2016,2,28,0,1,0.0935,0.1944,29.446,NE
63040080,39.99,-8.326,2017,7,1,12,0,-0.017,0.8314,26.884,SE
63471600,39.964,-9.124,2017,6,24,12,1,-0.2297,1.1612,26.722,SE
63471600,39.927,-8.884,2017,6,24,18,1,-0.1074,1.1982,26.704,SE
63471600,39.921,-8.656,2017,6,25,0,1,0.0241,1.1742,26.663,SE
63471600,39.937,-8.426,2017,6,25,6,1,0.2149,1.2027,26.643,SE
60751420,39.849,-9.297,2015,9,29,0,1,-0.1964,0.2958,26.524,SE
60751420,39.803,-9.245,2015,9,29,6,1,-0.1938,0.2717,26.62,SE
60751420,39.773,-9.191,2015,9,29,12,1,-0.1392,0.2707,27.11,SE
60751420,39.748,-9.139,2015,9,29,18,1,-0.1196,0.2712,26.751,SE
60751420,39.726,-9.085,2015,9,30,0,1,-0.115,0.2723,26.584,SE
